County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Blanco County,TX,1.2,0.9,1.5,19.7,0.1,1.6,94.6,76.5
Bland County,VA,0.2,0.6,4.0,1.0,0.0,1.0,94.3,93.4
Bleckley County,GA,0.2,1.1,26.9,3.2,0.0,1.4,70.4,67.8
Bledsoe County,TN,0.6,0.3,7.7,2.8,0.0,1.4,89.9,87.3
Blount County,AL,0.6,0.3,1.7,9.7,0.1,1.4,95.8,86.8
Blount County,TN,0.4,1.0,3.0,3.6,0.1,1.7,93.7,90.6
Blue Earth County,MN,0.4,2.5,4.3,3.9,0.1,2.2,90.5,87.2
Boise County,ID,1.3,1.0,0.5,5.2,0.2,2.6,94.5,90.1
Bolivar County,MS,0.2,1.1,63.7,2.2,0.0,0.7,34.2,32.7
Bollinger County,MO,0.9,0.2,0.6,1.5,0.0,1.3,97.0,95.9
Bon Homme County,SD,8.3,0.3,1.4,3.1,0.0,1.4,88.6,86.2
Bond County,IL,0.7,0.8,6.3,3.6,0.0,1.6,90.6,87.4
Bonner County,ID,0.9,0.8,0.3,3.4,0.2,2.4,95.5,92.6
Bonneville County,ID,1.3,1.1,0.7,13.4,0.1,2.3,94.4,82.5
Boone County,AR,0.9,0.6,0.5,2.6,0.1,2.0,96.0,93.7
Boone County,IA,0.5,0.5,1.2,2.7,0.0,1.2,96.6,94.3
Boone County,IL,0.8,1.5,2.8,22.8,0.1,2.3,92.5,71.9
Boone County,IN,0.3,3.4,2.1,3.2,0.0,1.6,92.6,89.7
Boone County,KY,0.2,2.4,3.8,4.4,0.2,2.2,91.2,87.3
Boone County,MO,0.5,5.0,9.8,3.5,0.1,3.2,81.4,78.4
Boone County,NE,0.3,0.4,0.5,2.2,0.0,0.8,98.0,96.2
Boone County,WV,0.2,0.1,0.7,0.6,0.0,0.8,98.2,97.6
Borden County,TX,0.8,0.2,0.9,17.9,-1.0,3.2,95.0,78.9
Bosque County,TX,0.9,0.6,2.2,18.9,0.1,1.6,94.6,77.1
Bossier Parish,LA,0.6,1.9,23.1,6.9,0.1,2.5,71.8,65.9
Botetourt County,VA,0.3,0.8,3.3,1.8,0.0,1.5,94.1,92.7
Bottineau County,ND,3.3,0.6,0.8,2.2,-1.0,2.4,92.9,91.2
Boulder County,CO,0.9,5.0,1.2,14.0,0.1,2.8,90.0,77.4
Boundary County,ID,2.0,1.0,0.7,5.1,0.1,2.0,94.3,90.0
Bourbon County,KS,0.9,1.1,3.2,2.8,0.0,2.8,91.9,89.7
Bourbon County,KY,0.4,0.5,5.9,6.8,0.0,2.0,91.1,85.1
Bowie County,TX,1.1,1.2,25.4,7.8,0.1,2.5,69.7,63.1
Bowman County,ND,2.5,0.2,0.3,5.5,0.1,1.0,95.9,92.0
Box Butte County,NE,4.6,0.7,1.1,12.9,0.0,2.6,91.0,80.7
Box Elder County,UT,1.1,0.8,0.6,9.7,0.2,2.1,95.2,86.7
Boyd County,KY,0.3,0.6,2.9,1.9,0.0,1.5,94.6,93.1
Boyd County,NE,1.4,1.4,0.1,2.5,0.1,0.5,96.5,94.4
Boyle County,KY,0.3,1.0,8.2,3.4,0.0,2.4,88.1,85.2
Bracken County,KY,0.4,0.1,0.8,1.7,0.0,1.5,97.2,95.8
Bradford County,FL,0.6,0.6,20.6,4.7,0.0,2.1,76.1,72.2
Bradford County,PA,0.3,0.7,0.8,1.6,0.0,1.3,96.9,95.7
Bradley County,AR,1.6,0.5,27.4,15.9,0.0,1.8,68.8,55.1
Bradley County,TN,0.6,1.2,5.2,6.6,0.1,2.1,90.7,85.1
Branch County,MI,0.5,0.7,2.4,5.1,0.0,1.9,94.5,90.0
Brantley County,GA,0.5,0.3,4.0,2.3,0.0,1.8,93.4,91.8
Braxton County,WV,0.4,0.2,0.7,0.9,0.0,1.3,97.3,96.6
Brazoria County,TX,0.8,6.9,15.1,31.6,0.1,2.1,74.9,45.3
Brazos County,TX,0.7,6.3,11.2,26.2,0.1,2.1,79.6,55.2
Breathitt County,KY,0.2,0.6,0.6,1.2,0.1,1.1,97.3,96.3
Breckinridge County,KY,0.5,0.4,2.2,1.9,0.0,1.6,95.3,93.7
Bremer County,IA,0.2,1.2,1.2,1.6,0.0,1.2,96.3,94.9
